STAT;Lat;Long;h[m];estado_abril_2021
VALL;10,47396756;-73,25196913;208,4916453;active
LR01;-3,769866593;-73,26761227;123,9632624;active
IQUI;-3,767345;-73,2687089;122,1207;removed
BECE;9,702099746;-73,27926175;120,7707385;inactive
GARA;5,081333606;-73,36003751;1750,944099;active
TUNA;5,531330156;-73,36388191;2831,8456;active
ALBE;7,760518966;-73,38943645;132,5981687;active
NIEB;-39,86874144;-73,40110272;57,56547621;#N/A
VIVI;4,074662026;-73,5839937;407,2689068;active
AGCA;8,315046799;-73,59541897;200,8795328;active
ATIC;-16,2313043;-73,6972282;54,4355;#N/A
FQNE;5,46734474;-73,73480849;2602,031408;inactive
LCAY;18,1876236;-73,7537801;-13,4554;#N/A
AY02;-15,01705801;-73,78129636;3224,051809;active
BEJA;7,060636576;-73,87559143;93,53921125;active
BOSC;9,966891212;-73,8862278;85,57905863;inactive
ABPW;4,689569535;-73,99511462;2837,094951;active
BOGA;4,638682799;-74,07994949;2609,779833;active
BOGT;4,640074841;-74,08093961;2576,230876;active
ABPD;4,476567533;-74,09886813;2958,370249;active
ABCC;4,6612343;-74,1269221;2576,3557;active
SAMA;11,22524863;-74,18709226;22,6728511;active
AY01;-13,1593179;-74,2266339;2800,1863;#N/A
GLRV;-14,66974;-74,4038763;3991,3783;#N/A
BERR;6,4926846;-74,4103092;159,0605;active
UC01;-8,383873605;-74,53118164;182,8183639;active
DORA;5,453846053;-74,663313;204,4805687;active
MAGA;9,239849661;-74,75980364;24,61978135;#N/A
VMAG;9,2867416;-74,8473197;61,0943;#N/A
BQLA;11,01971022;-74,84964004;47,54530387;active
IC03;-14,82659165;-74,93743667;630,4440552;#N/A
IC03;-14,8265917;-74,9374367;630,4443;#N/A
NZCA;-14,8564652;-74,9643898;578,3285;#N/A
HV01;-12,78650747;-74,96773628;3720,701996;active
SJUA;-15,3626092;-75,1876064;49,478;#N/A
CASI;7,9888402;-75,2000336;69,0951;active
IBAG;4,428046172;-75,21472344;1216,087403;active
CN37;10,79257716;-75,26317529;1,42780803;#N/A
NEVA;2,937301095;-75,2930315;472,728521;active
SNSN;5,7150706;-75,308334;2550,7265;active
JU03;-11,05663324;-75,32779127;830,3945784;active
SINC;9,315592075;-75,38768326;201,2527644;active
CART;10,39133516;-75,5338528;4,05684704;active
MEDE;6,199404969;-75,57891652;1553,463682;active
FLOR;1,620263215;-75,6045022;314,2387775;removed
PERA;4,792496508;-75,68950933;1496,739009;inactive
IC01;-14,07527149;-75,73490982;441,937652;active
SCUB;20,01206398;-75,76231714;20,9098719;active
EXU0;23,56404942;-75,87340213;-20,05989939;removed
CN10;17,41519079;-75,97055261;-16,32983925;#N/A
LREC;-1,614769911;-75,98572234;206,4590852;removed
ZARZ;4,396575408;-76,06756738;954,4818439;active
HC03;-9,932650097;-76,23546617;1927,891585;active
CALI;3,375788266;-76,53256425;1027,494438;active
POPA;2,443115252;-76,60120563;1782,19007;active
APTO;7,877787843;-76,63239055;45,17189826;removed
QUIB;5,6996378;-76,65673;57,916;removed
SM02;-7,180288067;-76,72691631;296,4287553;#N/A
CN12;18,0044818;-76,74905204;169,9312474;#N/A
GODE;39,02172814;-76,82683263;14,48906093;active
AUCA;-0,6408173;-76,8827341;313,8977;#N/A
MTEC;-2,06911288;-76,98237417;300,6736162;active
SM01;-6,022045425;-76,98805193;884,957755;active
FOEC;-0,463318361;-76,98991572;286,3447726;active
BUEN;3,8820238;-77,0104201;57,7523;inactive
LI01;-12,1030173;-77,01694058;157,6161232;active
USNO;38,91896306;-77,06622641;48,8629282;#N/A
CALL;-12,06287462;-77,14931927;33,79707596;removed
PSTO;1,211712531;-77,2770803;2569,095632;active
TCA0;26,7414615;-77,3825303;-27,2875;#N/A
NAS0;25,05253949;-77,46225727;-21,30827584;active
AN01;-9,531179514;-77,52708755;3097,599095;#N/A
CN11;17,02118002;-77,78411772;-10,69713511;#N/A
COEC;0,716067616;-77,78698495;3656,904573;active
CHEC;-0,339266792;-77,81444468;1643,66589;active
TNEC;-0,990018646;-77,81641731;546,9644951;active
AM04;-4,598146946;-77,86367598;201,0650219;active
PREC;-1,707817452;-77,96331388;904,2926773;active
STEC;-3,0507644;-78,0104639;321,7354;active
CN34;8,5488778;-78,0147589;78,833;#N/A
IBEC;0,350157295;-78,11568605;2246,207035;active
MAEC;-2,304608113;-78,11801607;1060,390394;active
DARI;8,658381229;-78,15407824;36,38077703;active
EPEC;-0,314889733;-78,44632316;2522,979511;active
QUI3;-0,139578963;-78,46727983;2927,476639;active
QUI1;-0,215157115;-78,49360806;2922,535799;active
QUEM;-0,237050863;-78,49734925;3054,664608;active
CJ01;-7,146861286;-78,5093753;2731,043421;active
AN02;-9,12842523;-78,52977807;39,06117965;active
GZEC;-3,401194234;-78,58106691;883,9254778;active
CXEC;-0,9352203;-78,6148348;2808,5053;active
